ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC9555,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4208,-99.2213,1,Mi_Barrio
MC9642,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4167,-99.215,1,Mi_Barrio
MC9652,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4112,-99.2203,1,Mi_Barrio
MC9629,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.418,-99.2157,1,Mi_Barrio
MC9663,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4154,-99.232,1,Mi_Barrio
MC9666,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4224,-99.2266,1,Mi_Barrio
MC9547,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4139,-99.2286,1,Mi_Barrio
MC9550,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4084,-99.2287,1,Mi_Barrio
MC9585,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4157,-99.2147,1,Mi_Barrio
MC9640,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.418,-99.2194,1,Mi_Barrio
MC9646,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4189,-99.2194,1,Mi_Barrio
MC9656,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4183,-99.2308,1,Mi_Barrio
MC9415,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4124,-99.2244,1,Mi_Barrio
MC9556,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4149,-99.2232,1,Mi_Barrio
MC9583,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4093,-99.2266,1,Mi_Barrio
MC9638,BOSQUE DE CHAPULTEPEC II,MIGUEL HIDALGO,19.4182,-99.2025,1,Mi_Barrio
MC9647,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4193,-99.2136,1,Mi_Barrio
MC9548,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4119,-99.2262,1,Mi_Barrio
MC9595,LOMAS VIRREYES,MIGUEL HIDALGO,19.4166,-99.2131,1,Mi_Barrio
MC9590,LOMAS VIRREYES,MIGUEL HIDALGO,19.4171,-99.2124,1,Mi_Barrio
MC9628,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4188,-99.2149,1,Mi_Barrio
MC9651,BOSQUE DE CHAPULTEPEC III,MIGUEL HIDALGO,19.4103,-99.2181,1,Mi_Barrio
MC9653,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4229,-99.224,1,Mi_Barrio
MC9662,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4242,-99.2245,1,Mi_Barrio
MC9675,LOMAS DE REFORMA,MIGUEL HIDALGO,19.401,-99.2352,1,Mi_Barrio
MC9673,LOMAS DE REFORMA,MIGUEL HIDALGO,19.4034,-99.2358,1,Mi_Barrio
MC9500,LOMAS DE SOTELO 2285,MIGUEL HIDALGO,19.4402,-99.225,1,Mi_Barrio
MC9678,ANAHUAC LOS MANZANOS,MIGUEL HIDALGO,19.445,-99.184,1,Mi_Barrio
MC9683,MEXICO NUEVO,MIGUEL HIDALGO,19.452,-99.2025,1,Mi_Barrio
MC9840,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,19.4054,-99.1865,1,Mi_Barrio
MC9691,MODELO PENSIL,MIGUEL HIDALGO,19.4465,-99.1893,1,Mi_Barrio
MC9868,TACUBAYA,MIGUEL HIDALGO,19.4038,-99.1915,1,Mi_Barrio
MC9403,BOSQUE DE CHAPULTEPEC III,MIGUEL HIDALGO,19.3964,-99.2226,1,Mi_Barrio
MC9509,PANTEON FRANCES,MIGUEL HIDALGO,19.4481,-99.2061,1,Mi_Barrio
MC9707,PENSIL SUR,MIGUEL HIDALGO,19.446,-99.1974,1,Mi_Barrio
MC9713,PERIODISTA,MIGUEL HIDALGO,19.4474,-99.2191,1,Mi_Barrio
MC9716,PERIODISTA,MIGUEL HIDALGO,19.4464,-99.2196,1,Mi_Barrio
MC9717,LOMAS DE SOTELO 2285,MIGUEL HIDALGO,19.4459,-99.2174,1,Mi_Barrio
MC9710,PERIODISTA,MIGUEL HIDALGO,19.4462,-99.2173,1,Mi_Barrio
MC9720,PLUTARCO ELIAS CALLES,MIGUEL HIDALGO,19.4534,-99.1709,1,Mi_Barrio
MC9719,PLUTARCO ELIAS CALLES,MIGUEL HIDALGO,19.456,-99.1707,1,Mi_Barrio
MC9776,POLANCO IV SECCION,MIGUEL HIDALGO,19.4353,-99.1833,1,Mi_Barrio
MC9761,POLANCO IV SECCION,MIGUEL HIDALGO,19.4312,-99.1928,1,Mi_Barrio
MC9728,POLANCO IV SECCION,MIGUEL HIDALGO,19.4382,-99.2117,1,Mi_Barrio
MC9764,POLANCO IV SECCION,MIGUEL HIDALGO,19.4299,-99.1914,1,Mi_Barrio
MC9753,CUAUHTEMOC,CUAUHTÉMOC,19.4314,-99.1635,1,Mi_Barrio
MC9794,POLANCO IV SECCION,MIGUEL HIDALGO,19.4314,-99.1866,1,Mi_Barrio
MC9727,POLANCO IV SECCION,MIGUEL HIDALGO,19.437,-99.2111,1,Mi_Barrio
MC9785,POLANCO IV SECCION,MIGUEL HIDALGO,19.4353,-99.1857,1,Mi_Barrio
MC9730,POLANCO IV SECCION,MIGUEL HIDALGO,19.4362,-99.2024,1,Mi_Barrio
MC9758,POLANCO IV SECCION,MIGUEL HIDALGO,19.4318,-99.195,1,Mi_Barrio
MC9759,POLANCO IV SECCION,MIGUEL HIDALGO,19.4296,-99.1937,1,Mi_Barrio
MC9790,POLANCO IV SECCION,MIGUEL HIDALGO,19.4332,-99.1872,1,Mi_Barrio
MC9788,POLANCO IV SECCION,MIGUEL HIDALGO,19.4334,-99.1903,1,Mi_Barrio
